"","user_id","user_name","creation_time","user_screen_name","user_location","place_name","place_full_name","place_country_code","place_country","coordinates_type","latitude","longitude"
"42",7779312,"Chuck Reynolds","Sat Sep 02 22:47:18 +0000 2017","ChuckReynolds","San Francisco","San Francisco","San Francisco, CA","US","United States",NA,NA,NA
"43",7885302,"Freds4hb","Sat Sep 02 00:29:51 +0000 2017","freds4hb","Berkeley, CA, USA, Earth","Berkeley","Berkeley, CA","US","United States",NA,NA,NA
"44",8010822,"effin' cheese","Sat Sep 02 18:12:54 +0000 2017","xfegs","New Hampshire, USA",NA,NA,NA,NA,NA,NA,NA
"45",8067002,"Michael Donohoe","Sun Sep 03 01:45:35 +0000 2017","donohoe","Brooklyn, NY",NA,NA,NA,NA,NA,NA,NA
"46",8083542,"masteradrian","Sat Sep 02 11:11:25 +0000 2017","masteradrian","Amsterdam",NA,NA,NA,NA,NA,NA,NA
"47",8149052,"Fred Neil","Sat Sep 02 09:22:26 +0000 2017","fredneil2","Seattle, WA",NA,NA,NA,NA,NA,NA,NA
"48",8164432,"kemahkarma","Sat Sep 02 16:29:02 +0000 2017","kemahkarma","Kemah, TX",NA,NA,NA,NA,NA,NA,NA
"49",8169272,"tysoneberly","Sat Sep 02 12:50:56 +0000 2017","tysoneberly","Austin Tx",NA,NA,NA,NA,NA,NA,NA
"50",8524882,"mkprz","Fri Sep 01 16:05:47 +0000 2017","mkprz","San Antonio, TX",NA,NA,NA,NA,NA,NA,NA
"51",8623332,"SpaceRef","Fri Sep 01 14:47:04 +0000 2017","SpaceRef","Reston, VA",NA,NA,NA,NA,NA,NA,NA
"52",9060562,"Klaatu barada Wyn<f0><U+009F><U+0096><U+0096>","Sat Sep 02 17:11:59 +0000 2017","WynGalbraith","FoyleGully SL, El Sob I cry for my Nation",NA,NA,NA,NA,NA,NA,NA
"53",9130702,"Stars and Stripes","Sat Sep 02 16:45:13 +0000 2017","starsandstripes","Washington D.C.",NA,NA,NA,NA,NA,NA,NA
"54",9201992,"Scott Smith","Sun Sep 03 03:42:51 +0000 2017","ourmaninchicago","Chicago, IL",NA,NA,NA,NA,NA,NA,NA
"55",9512982,"Colin Benedict","Sat Sep 02 17:11:05 +0000 2017","cbenedict","Madison, WI",NA,NA,NA,NA,NA,NA,NA
"56",9616062,"10News","Sat Sep 02 01:15:00 +0000 2017","10News","San Diego, CA",NA,NA,NA,NA,NA,NA,NA
"57",9616062,"10News","Sat Sep 02 14:19:37 +0000 2017","10News","San Diego, CA",NA,NA,NA,NA,NA,NA,NA
"58",9651842,"CBS 21 News","Fri Sep 01 20:05:11 +0000 2017","CBS21NEWS","Harrisburg, Pennsylvania, USA",NA,NA,NA,NA,NA,NA,NA
"59",9655952,"Boost Mobile","Fri Sep 01 20:49:02 +0000 2017","boostmobile","Irvine, CA",NA,NA,NA,NA,NA,NA,NA
"60",9735672,"Lee Dunkelberg","Sat Sep 02 21:13:23 +0000 2017","Lee_Dunkelberg","Fort Worth, Texas",NA,NA,NA,NA,NA,NA,NA
"61",10069432,"John","Sat Sep 02 03:36:02 +0000 2017","jaxmax","N 39.06185 W 76.48853 MD",NA,NA,NA,NA,NA,NA,NA
"62",10076702,"Marcello Cividini","Fri Sep 01 14:33:05 +0000 2017","civis","Argegno - COMO - Italy",NA,NA,NA,NA,NA,NA,NA
"63",10136872,"Fazia Begum Rizvi","Fri Sep 01 14:09:55 +0000 2017","faziarizvi","Texas",NA,NA,NA,NA,NA,NA,NA
"64",10232112,"Suzie Jimenez","Sat Sep 02 04:41:16 +0000 2017","suziejimenez86","Austin, TX",NA,NA,NA,NA,NA,NA,NA
"65",10323562,"LiliMoM11","Sun Sep 03 04:44:10 +0000 2017","LiliMoM","The West",NA,NA,NA,NA,NA,NA,NA
"66",10637002,"charles r pearson","Fri Sep 01 22:11:52 +0000 2017","charles_preset","Detroit, MI",NA,NA,NA,NA,NA,NA,NA
"67",10826192,"#TiptonCreative","Mon Sep 04 11:59:20 +0000 2017","Rhonda_Tipton","Pearland, TX",NA,NA,NA,NA,NA,NA,NA
"68",11206992,"tuckergurl","Sat Sep 02 07:53:33 +0000 2017","tuckergurl","New Orleans, LA",NA,NA,NA,NA,NA,NA,NA
"69",11229432,"EarthToday","Fri Sep 01 14:46:44 +0000 2017","earthtoday","Earth",NA,NA,NA,NA,NA,NA,NA
"70",11235032,"SthrnFairytale","Sat Sep 02 01:12:43 +0000 2017","sthrnfairytale","Katy, TX",NA,NA,NA,NA,NA,NA,NA
"71",11261632,"Librarygal","Sun Sep 03 01:45:12 +0000 2017","Librarygal","Dallas",NA,NA,NA,NA,NA,NA,NA
"72",11309232,"Val Edwards","Sat Sep 02 16:58:34 +0000 2017","Valann","Monona, WI",NA,NA,NA,NA,NA,NA,NA
"73",11345582,"HealingMindN","Sat Sep 02 18:31:53 +0000 2017","HealingMindN","California",NA,NA,NA,NA,NA,NA,NA
"74",11382352,"TDECU","Fri Sep 01 20:48:40 +0000 2017","TDECU","Gulf Coast and Houston, TX",NA,NA,NA,NA,NA,NA,NA
"75",11493762,"((Terrace Crawford))","Fri Sep 01 16:01:50 +0000 2017","terracecrawford","Va Beach, VA",NA,NA,NA,NA,NA,NA,NA
"76",11493762,"((Terrace Crawford))","Sun Sep 03 14:21:53 +0000 2017","terracecrawford","Va Beach, VA",NA,NA,NA,NA,NA,NA,NA
"77",11853122,"Samuel Sherman","Mon Sep 04 00:56:31 +0000 2017","samuelsherman","Brooklyn, NY",NA,NA,NA,NA,NA,NA,NA
"78",11859822,"World Vision USA","Fri Sep 01 22:38:15 +0000 2017","WorldVisionUSA","Federal Way, WA",NA,NA,NA,NA,NA,NA,NA
"79",11896652,"(((Esther)))","Sun Sep 03 15:37:03 +0000 2017","estherfruma","Chapel Hill",NA,NA,NA,NA,NA,NA,NA
"80",11926542,"Seth Caylor","Fri Sep 01 19:21:20 +0000 2017","Sethmo","Corpus Christi,TX",NA,NA,NA,NA,NA,NA,NA
"81",12056102,"Mike Stern","Sun Sep 03 21:36:02 +0000 2017","mike_stern","madison, wi",NA,NA,NA,NA,NA,NA,NA
"82",12112272,"Dave Dunbar","Sat Sep 02 14:06:50 +0000 2017","dunbdav","Kanata",NA,NA,NA,NA,NA,NA,NA
"83",12203692,"#trumpRussia","Sun Sep 03 02:41:40 +0000 2017","JustAnotherRich","New York, USA",NA,NA,NA,NA,NA,NA,NA
"84",12203692,"#trumpRussia","Sun Sep 03 02:51:42 +0000 2017","JustAnotherRich","New York, USA",NA,NA,NA,NA,NA,NA,NA
"85",12203692,"#trumpRussia","Sun Sep 03 02:58:31 +0000 2017","JustAnotherRich","New York, USA",NA,NA,NA,NA,NA,NA,NA
"86",12203692,"#trumpRussia","Sun Sep 03 16:20:00 +0000 2017","JustAnotherRich","New York, USA",NA,NA,NA,NA,NA,NA,NA
"87",12721712,"BlackPressRadio","Sun Sep 03 16:23:12 +0000 2017","BlackPressRadio","Washington, DC in the USA",NA,NA,NA,NA,NA,NA,NA
"88",12721712,"BlackPressRadio","Mon Sep 04 00:44:36 +0000 2017","BlackPressRadio","Washington, DC in the USA",NA,NA,NA,NA,NA,NA,NA
"89",12738892,"NBC Charlotte","Fri Sep 01 21:37:47 +0000 2017","wcnc","Charlotte, NC",NA,NA,NA,NA,NA,NA,NA
"90",12745332,"jessica","Mon Sep 04 00:46:49 +0000 2017","yayponies","#la",NA,NA,NA,NA,NA,NA,NA
"91",12874852,"Wellbelove","Sun Sep 03 13:20:03 +0000 2017","wellbelove","Clapham, London",NA,NA,NA,NA,NA,NA,NA
"92",12888832,"HammHawk","Sat Sep 02 22:16:51 +0000 2017","HammHawk","New Orleans, LA",NA,NA,NA,NA,NA,NA,NA
"93",12995762,"Whits1bone <U+3010><U+30C4><U+3011>","Sat Sep 02 17:18:58 +0000 2017","Whits1bone","Michigan",NA,NA,NA,NA,NA,NA,NA
"94",13133622,"Alice Jones","Sun Sep 03 03:33:16 +0000 2017","snowberry","e Ursae Majoris",NA,NA,NA,NA,NA,NA,NA
"95",13218102,"JohnCornyn","Sun Sep 03 23:49:06 +0000 2017","JohnCornyn","Austin, Texas",NA,NA,NA,NA,NA,NA,NA
"96",13671812,"CMVarnell","Sat Sep 02 01:28:15 +0000 2017","CMVarnell","Chester Virginia",NA,NA,NA,NA,NA,NA,NA
"97",13755512,"David Kaplan","Sat Sep 02 02:37:15 +0000 2017","DavidKaplanMN","Minneapolis, MN",NA,NA,NA,NA,NA,NA,NA
"98",13755512,"David Kaplan","Mon Sep 04 04:43:55 +0000 2017","DavidKaplanMN","Minneapolis, MN",NA,NA,NA,NA,NA,NA,NA
"99",14070433,"Rich Chapman","Sat Sep 02 13:05:12 +0000 2017","RichChapman","Chicago Area","South Barrington","South Barrington, IL","US","United States",NA,NA,NA
"100",14089201,"Sojourner is Peachy","Sun Sep 03 01:06:43 +0000 2017","sojournerlie","Sugar dots to drag us",NA,NA,NA,NA,NA,NA,NA
"101",14109976,"Patrick Olsen","Fri Sep 01 23:05:49 +0000 2017","PatrickOlsen","West Hartford, CT",NA,NA,NA,NA,NA,NA,NA
"102",14121807,"Hashem Imad","Sat Sep 02 16:26:13 +0000 2017","whitishes","Lebanon- Fanar",NA,NA,NA,NA,NA,NA,NA
"103",14126939,"Bruno Sarda","Sat Sep 02 21:12:28 +0000 2017","bruno68","Princeton, NJ",NA,NA,NA,NA,NA,NA,NA
"104",14149171,"Joey Guerra","Sat Sep 02 21:49:00 +0000 2017","joeyguerra","Houston, Texas",NA,NA,NA,NA,NA,NA,NA
"105",14183601,"Richy Not @ PAX","Sat Sep 02 09:59:34 +0000 2017","richyg84","Vancouver, British Columbia",NA,NA,NA,NA,NA,NA,NA
"106",14206115,"<f0><U+009F><U+008E><U+0085><f0><U+009F><U+008F><U+00BF>Mr. Covfefe <U+270C><U+FE0F>","Sat Sep 02 21:46:15 +0000 2017","Paul197","Terra Australis",NA,NA,NA,NA,NA,NA,NA
"107",14222615,"Dave Zatz","Fri Sep 01 22:51:42 +0000 2017","davezatz","Ashburn, VA",NA,NA,NA,NA,NA,NA,NA
"108",14228270,"CorinaCorina","Sat Sep 02 01:15:54 +0000 2017","CorinaCorina","San Diego, CA",NA,NA,NA,NA,NA,NA,NA
"109",14229632,"Adam, SneakerWonk","Sun Sep 03 14:34:12 +0000 2017","SneakerWonk","Longview, TX",NA,NA,NA,NA,NA,NA,NA
"110",14230856,"Jeff Meisenhelder","Sun Sep 03 14:35:24 +0000 2017","tatrtalk","Nashville, TN",NA,NA,NA,NA,NA,NA,NA
"111",14236433,"Brandee <f0><U+009F><U+00A6><U+008B>","Sat Sep 02 03:49:42 +0000 2017","branflakez","Northwest Suburbs, Illinois",NA,NA,NA,NA,NA,NA,NA
"112",14251005,"Pauline Blackwood","Mon Sep 04 00:27:55 +0000 2017","prblack","Toronto, Canada",NA,NA,NA,NA,NA,NA,NA
"113",14259800,"Tristina Wright","Sat Sep 02 19:45:36 +0000 2017","TristinaWright","Directly above Earth's center",NA,NA,NA,NA,NA,NA,NA
"114",14277364,"State Bar of Texas","Fri Sep 01 16:46:18 +0000 2017","statebaroftexas","Austin, TX",NA,NA,NA,NA,NA,NA,NA
"115",14277364,"State Bar of Texas","Sat Sep 02 18:58:16 +0000 2017","statebaroftexas","Austin, TX",NA,NA,NA,NA,NA,NA,NA
"116",14286806,"InterAction","Sat Sep 02 01:14:01 +0000 2017","InterActionOrg","Washington, DC",NA,NA,NA,NA,NA,NA,NA
"117",14289945,"Museums and the Web","Fri Sep 01 15:29:34 +0000 2017","museweb","Next in Cleveland, OH",NA,NA,NA,NA,NA,NA,NA
"118",14305515,"Aaron Hale","Sat Sep 02 21:07:06 +0000 2017","AARONHALE","Austin, TX",NA,NA,NA,NA,NA,NA,NA
"119",14326404,"Miguel Bustillo","Fri Sep 01 18:27:12 +0000 2017","BustilloM","Texas",NA,NA,NA,NA,NA,NA,NA
"120",14327663,"David Mastio","Sun Sep 03 14:39:17 +0000 2017","DavidMastio","Northern, Virginia",NA,NA,NA,NA,NA,NA,NA
"121",14345619,"wodeolbj backwards","Sat Sep 02 22:51:39 +0000 2017","NuncVideo","Washington, USA",NA,NA,NA,NA,NA,NA,NA
"122",14346672,"jim sprague","Fri Sep 01 14:57:04 +0000 2017","avideditor","victoria canada",NA,NA,NA,NA,NA,NA,NA
"123",14365987,"Quintein","Sat Sep 02 21:11:40 +0000 2017","Quintein","Portland, OR",NA,NA,NA,NA,NA,NA,NA
"124",14370442,"Mike Ebert","Sat Sep 02 18:40:19 +0000 2017","mebert","Cumming, Georgia",NA,NA,NA,NA,NA,NA,NA
"125",14377872,"Ben Goodman","Sat Sep 02 19:43:39 +0000 2017","BenGoodman","Washington, D.C.",NA,NA,NA,NA,NA,NA,NA
"126",14411918,"legendsjrtour","Fri Sep 01 20:32:04 +0000 2017","legendsjrtour","Dallas, TX",NA,NA,NA,NA,NA,NA,NA
"127",14414124,"MrSir85","Sun Sep 03 15:31:01 +0000 2017","MrSir85","Texas, DFW, Waco and SA",NA,NA,NA,NA,NA,NA,NA
"128",14429123,"Christina aka Faith","Fri Sep 01 20:23:09 +0000 2017","gamerfaith","Milton, Ontario",NA,NA,NA,NA,NA,NA,NA
"129",14436938,"Danbury Library","Fri Sep 01 18:56:25 +0000 2017","danburylibrary","Danbury, CT",NA,NA,NA,NA,NA,NA,NA
"130",14454814,"gillian","Sun Sep 03 16:53:34 +0000 2017","gillianbdoll","Outer Richmond, San Francisco",NA,NA,NA,NA,NA,NA,NA
"131",14459159,"@Conga1","Fri Sep 01 21:53:14 +0000 2017","Conga1","#24ToFlipTheHouse",NA,NA,NA,NA,NA,NA,NA
"132",14467528,"David A. Brown","Sat Sep 02 14:05:32 +0000 2017","dabfoto","Houston, TX ",NA,NA,NA,NA,NA,NA,NA
"133",14489367,"Eric Heisserer","Sat Sep 02 01:48:04 +0000 2017","HIGHzurrer","Los Angeles",NA,NA,NA,NA,NA,NA,NA
"134",14495392,"SüßantifaLeah","Mon Sep 04 01:02:53 +0000 2017","suesswassersee","Chicago - South Side",NA,NA,NA,NA,NA,NA,NA
"135",14495675,"Juan Incognito","Sat Sep 02 19:12:26 +0000 2017","juanincognito","Leaning against a wall ",NA,NA,NA,NA,NA,NA,NA
"136",14506635,"secretbutterfly","Sat Sep 02 21:17:01 +0000 2017","secretbutterfly","San Francisco Bay Area",NA,NA,NA,NA,NA,NA,NA
"137",14512474,"AlexConde","Sat Sep 02 02:24:37 +0000 2017","AlexConde","Toronto",NA,NA,NA,NA,NA,NA,NA
"138",14520067,"jimmybritt","Sun Sep 03 00:48:42 +0000 2017","jimmybritt","Concord, NC",NA,NA,NA,NA,NA,NA,NA
"139",14534200,"lorineg","Sun Sep 03 02:01:23 +0000 2017","lorineg","Washington, DC",NA,NA,NA,NA,NA,NA,NA
"140",14537497,"Robyn Tomlin","Fri Sep 01 22:57:37 +0000 2017","robyntomlin","Dallas, TX",NA,NA,NA,NA,NA,NA,NA
"141",14537497,"Robyn Tomlin","Sat Sep 02 00:56:23 +0000 2017","robyntomlin","Dallas, TX",NA,NA,NA,NA,NA,NA,NA
"142",14544099,"Angry_Wink","Sun Sep 03 10:33:11 +0000 2017","hammerac","2nd star to the right...",NA,NA,NA,NA,NA,NA,NA
"143",14546684,"Jen Steer","Sat Sep 02 01:11:51 +0000 2017","jensteer","Cleveland",NA,NA,NA,NA,NA,NA,NA
"144",14548676,"Sen. Brant Feldman","Fri Sep 01 22:39:16 +0000 2017","AGMSports","Los Angeles / Toronto",NA,NA,NA,NA,NA,NA,NA
"145",14570980,"Christy Pettey","Fri Sep 01 21:44:28 +0000 2017","cpettey","San Jose, CA",NA,NA,NA,NA,NA,NA,NA
"146",14589287,"(((Annette)))","Sun Sep 03 00:33:03 +0000 2017","abytw","Been there, done that",NA,NA,NA,NA,NA,NA,NA
"147",14601243,"Samara Lynn <U+2744><U+FE0F>","Sat Sep 02 01:24:43 +0000 2017","samaralynn","New York, NY",NA,NA,NA,NA,NA,NA,NA
"148",14608802,"Jason Klein","Sat Sep 02 02:11:45 +0000 2017","jasonklein","Chicago, USA",NA,NA,NA,NA,NA,NA,NA
"149",14620190,"AT&T","Fri Sep 01 22:34:00 +0000 2017","ATT","Dallas, TX",NA,NA,NA,NA,NA,NA,NA
"150",14636321,"Benjamin Lewis","Sat Sep 02 15:19:58 +0000 2017","tc1415","Rochester, N.Y.",NA,NA,NA,NA,NA,NA,NA
"151",14669794,"Mathew Anderson","Sat Sep 02 14:15:51 +0000 2017","MathewAnderson","Austin, TX",NA,NA,NA,NA,NA,NA,NA
"152",14678686,"Pagotti","Fri Sep 01 23:34:02 +0000 2017","skeletony","Joinville, Pindorama",NA,NA,NA,NA,NA,NA,NA
"153",14704444,"KERA","Fri Sep 01 18:21:00 +0000 2017","keratx","Dallas/Fort Worth",NA,NA,NA,NA,NA,NA,NA
"154",14705116,"Americares <f0><U+009F><U+008C><U+0080> Harvey","Sun Sep 03 10:27:20 +0000 2017","Americares","Worldwide • info@Americares.org",NA,NA,NA,NA,NA,NA,NA
"155",14715819,"Jimmy Saw","Fri Sep 01 16:30:04 +0000 2017","jimmysaw","Corvallis, OR",NA,NA,NA,NA,NA,NA,NA
"156",14720319,"Red Cross LosAngeles","Sat Sep 02 15:26:20 +0000 2017","RedCrossLA","11355 Ohio Ave LA, CA 90025",NA,NA,NA,NA,NA,NA,NA
"157",14727739,"Noah Duffy","Sat Sep 02 00:25:48 +0000 2017","DBFNoah","Lawton, Oklahoma",NA,NA,NA,NA,NA,NA,NA
"158",14756122,"Raquela Berakiki","Fri Sep 01 23:36:54 +0000 2017","raquelaberakiki","Somewhere Left of the Middle",NA,NA,NA,NA,NA,NA,NA
"159",14759118,"KristiB67","Sun Sep 03 18:41:23 +0000 2017","KristiB67","AZ",NA,NA,NA,NA,NA,NA,NA
"160",14764240,"Rewire","Fri Sep 01 20:45:42 +0000 2017","Rewire_News","everywhere",NA,NA,NA,NA,NA,NA,NA
"161",14774712,"Oliver Bogler","Sun Sep 03 15:09:27 +0000 2017","obogler","Houston, TX",NA,NA,NA,NA,NA,NA,NA
"162",14803530,"ConservativePatriot","Fri Sep 01 14:51:13 +0000 2017","divergentdeb","Earth ",NA,NA,NA,NA,NA,NA,NA
"163",14820058,"joeyhudson","Sun Sep 03 13:05:42 +0000 2017","joeyhudson","Greenville, SC",NA,NA,NA,NA,NA,NA,NA
"164",14825402,"PlantBasedPatriot","Sun Sep 03 03:07:34 +0000 2017","TheRightWife","Taylors, SC",NA,NA,NA,NA,NA,NA,NA
"165",14835049,"Lucas Hendrickson","Sun Sep 03 14:08:34 +0000 2017","lucastypes","Nashville, TN",NA,NA,NA,NA,NA,NA,NA
"166",14841472,"brenda_archer","Sun Sep 03 02:18:39 +0000 2017","brenda_archer","Pennsylvania ",NA,NA,NA,NA,NA,NA,NA
"167",14848744,"Eric Miller","Fri Sep 01 20:08:37 +0000 2017","emiller42","Minneapolis",NA,NA,NA,NA,NA,NA,NA
"168",14856994,"Connor Walsh","Fri Sep 01 20:14:17 +0000 2017","connorwalsh","Europe",NA,NA,NA,NA,NA,NA,NA
"169",14857739,"AmericanBankersAssn","Fri Sep 01 15:50:01 +0000 2017","ABABankers","Washington, DC",NA,NA,NA,NA,NA,NA,NA
"170",14857964,"Matt Canham","Sat Sep 02 04:09:39 +0000 2017","mattcanham","Salt Lake City, UT",NA,NA,NA,NA,NA,NA,NA
"171",14861004,"KCTV5 News","Sat Sep 02 14:40:09 +0000 2017","KCTV5","Kansas City, Mo.",NA,NA,NA,NA,NA,NA,NA
"172",14862215,"George G","Fri Sep 01 15:29:12 +0000 2017","ggodik","ÜT: 40.75,-73.997",NA,NA,NA,NA,NA,NA,NA
"173",14873040,"aarone","Sun Sep 03 03:47:43 +0000 2017","aarone","Chateau Woods, Texas",NA,NA,NA,NA,NA,NA,NA
"174",14879043,"Jarred Myers","Sun Sep 03 05:51:27 +0000 2017","JarredMyers","Cape Town",NA,NA,NA,NA,NA,NA,NA
"175",14895637,"Mementh","Sat Sep 02 20:33:41 +0000 2017","Mementh","Murfreesboro TN",NA,NA,NA,NA,NA,NA,NA
"176",14930850,"Catherine Regalia","Fri Sep 01 20:59:15 +0000 2017","dreamboatqueen1","Arizona",NA,NA,NA,NA,NA,NA,NA
"177",14941817,"Pops Freshenmeyer","Mon Sep 04 05:50:19 +0000 2017","PlankySmith","Private Crime-Detecting Star",NA,NA,NA,NA,NA,NA,NA
"178",14952251,"angelanordstrom","Fri Sep 01 21:30:12 +0000 2017","angelanordstrom","Brentwood, TN",NA,NA,NA,NA,NA,NA,NA
"179",14983792,"Charles Boehm","Fri Sep 01 22:47:39 +0000 2017","cboehm","DC",NA,NA,NA,NA,NA,NA,NA
"180",14996887,"American Kennel Club","Fri Sep 01 23:00:46 +0000 2017","akcdoglovers","New York, NY",NA,NA,NA,NA,NA,NA,NA
"181",15022381,"NoodleHeadProds","Sat Sep 02 02:16:30 +0000 2017","noodleheadprods","Hollywood North/Hollywood East",NA,NA,NA,NA,NA,NA,NA
"182",15033319,"Temitope Akanchawa","Sun Sep 03 04:45:00 +0000 2017","topeghadaffi","Lagos, Nigeria",NA,NA,NA,NA,NA,NA,NA
"183",15040812,"Van Applegate","Sat Sep 02 15:48:45 +0000 2017","vbagate","Washington, DC",NA,NA,NA,NA,NA,NA,NA
